SAT.V,SAT.Q,SAT.C,School,GPA,Status,Gender
610,670,1280,COMMUNICATIONS,3.3955,G,M
700,650,1350,BUSINESS,3.5179,G,M
520,580,1100,NATURAL SCIENCE,3.2592,G,M
500,460,960,COMMUNICATIONS,3.1632,G,M
660,650,1310,NATURAL SCIENCE,3.0943,G,F
590,510,1100,NATURAL SCIENCE,2.6554,G,M
650,610,1260,LIBERAL ARTS,3.0625,G,F
690,690,1380,FINE ARTS,3.6492,G,F
550,680,1230,LIBERAL ARTS,2.5762,G,F
610,660,1270,COMMUNICATIONS,3.5581,G,M
790,630,1420,BUSINESS,3.6818,G,M
600,680,1280,LIBERAL ARTS,3.3225,G,F
670,780,1450,NATURAL SCIENCE,3.7364,G,F
650,680,1330,NATURAL SCIENCE,2.8776,G,M
590,590,1180,COMMUNICATIONS,3.4363,G,M
510,570,1080,ENGINEERING,2.7658,G,F
680,660,1340,BUSINESS,3.5928,G,M
590,670,1260,BUSINESS,3.6837,G,F
720,730,1450,LIBERAL ARTS,3.9019,G,F
760,790,1550,BUSINESS,3.7265,G,F
520,470,990,LIBERAL ARTS,2.8303,G,F
580,650,1230,EDUCATION,3.5963,G,M
570,680,1250,ENGINEERING,3.9318,G,M
560,540,1100,LIBERAL ARTS,2.918,G,M
560,640,1200,LIBERAL ARTS,3.5897,G,F
630,610,1240,NATURAL SCIENCE,3.4573,G,M
580,600,1180,BUSINESS,3.4876,G,M
660,590,1250,LIBERAL ARTS,3.8039,G,F
530,550,1080,NATURAL SCIENCE,2.4154,G,F
760,690,1450,LIBERAL ARTS,3.5514,G,F
690,580,1270,LIBERAL ARTS,2.1733,G,M
450,670,1120,ENGINEERING,2.217,G,M
440,520,960,LIBERAL ARTS,3.2291,G,M
490,490,980,COMMUNICATIONS,3.0109,G,F
570,680,1250,NATURAL SCIENCE,3.3277,G,M
620,590,1210,LIBERAL ARTS,3.8823,G,M
560,650,1210,EDUCATION,2.2804,G,F
540,440,980,LIBERAL ARTS,2.2857,G,F
650,630,1280,LIBERAL ARTS,3.6528,G,M
730,790,1520,ENGINEERING,3.9358,G,F
450,420,870,EDUCATION,2.3057,G,F
560,690,1250,BUSINESS,2.6216,G,F
440,480,920,LIBERAL ARTS,3.2288,G,F
540,720,1260,ENGINEERING,2.4358,G,F
540,690,1230,BUSINESS,3.252,G,F
560,630,1190,LIBERAL ARTS,3.4453,G,F
510,550,1060,LIBERAL ARTS,3.3559,G,M
720,630,1350,NATURAL SCIENCE,3.188,G,M
770,740,1510,NATURAL SCIENCE,3.3282,G,F
570,630,1200,BUSINESS,3.835,G,M
560,580,1140,EDUCATION,3.5937,G,M
670,600,1270,LIBERAL ARTS,3.3274,G,F
510,500,1010,LIBERAL ARTS,3.1205,G,M
500,470,970,LIBERAL ARTS,2.3555,G,F
720,690,1410,LIBERAL ARTS,3.5483,G,M
570,560,1130,LIBERAL ARTS,2.9622,G,M
600,670,1270,LIBERAL ARTS,2.8644,G,M
800,590,1390,FINE ARTS,3.9177,G,M
680,560,1240,FINE ARTS,3.4214,G,M
750,650,1400,LIBERAL ARTS,4,G,M
500,550,1050,LIBERAL ARTS,3.3793,G,F
580,790,1370,ENGINEERING,3.9469,G,F
460,590,1050,LIBERAL ARTS,2.2704,G,M
640,580,1220,NATURAL SCIENCE,2.7747,G,M
540,630,1170,NATURAL SCIENCE,3.6929,G,F
730,630,1360,FINE ARTS,3.8235,G,F
460,480,940,BUSINESS,3.0693,G,F
470,560,1030,LIBERAL ARTS,2.1513,G,M
540,600,1140,BUSINESS,3.4642,G,F
680,590,1270,NATURAL SCIENCE,3.7384,G,F
640,770,1410,LIBERAL ARTS,3.6956,G,M
650,710,1360,ENGINEERING,3.6666,G,F
600,530,1130,NATURAL SCIENCE,3.3396,G,F
610,610,1220,FINE ARTS,3.0612,G,M
600,610,1210,ENGINEERING,3.5273,G,F
470,590,1060,NATURAL SCIENCE,3.2807,G,M
570,650,1220,BUSINESS,3.4336,G,F
460,530,990,LIBERAL ARTS,3.5794,G,M
620,510,1130,COMMUNICATIONS,3.4105,G,M
470,490,960,LIBERAL ARTS,3.2075,G,F
540,470,1010,LIBERAL ARTS,2.8888,G,F
480,660,1140,BUSINESS,3.8018,G,M
420,600,1020,LIBERAL ARTS,3.202,G,F
630,660,1290,EDUCATION,3.9545,G,F
760,670,1430,BUSINESS,3.9318,G,M
470,590,1060,NATURAL SCIENCE,2.9189,G,M
500,510,1010,LIBERAL ARTS,3.8352,G,M
530,520,1050,LIBERAL ARTS,3.2991,G,M
590,660,1250,BUSINESS,3.542,G,M
720,680,1400,BUSINESS,3.8934,G,F
530,580,1110,NATURAL SCIENCE,2.1562,G,M
660,650,1310,BUSINESS,3.4402,G,M
660,550,1210,COMMUNICATIONS,3.4567,G,F
460,570,1030,LIBERAL ARTS,3.2446,G,M
720,710,1430,LIBERAL ARTS,3.7378,G,M
630,770,1400,ENGINEERING,3.3125,G,F
710,620,1330,NATURAL SCIENCE,3.752,G,F
670,490,1160,EDUCATION,2.9062,G,M
600,700,1300,BUSINESS,3.4356,G,F
510,540,1050,LIBERAL ARTS,2.379,G,F
670,620,1290,BUSINESS,3.5877,G,M
610,660,1270,ENGINEERING,3.3089,G,F
620,600,1220,LIBERAL ARTS,2.5046,G,F
710,670,1380,COMMUNICATIONS,3.2705,G,F
490,660,1150,ENGINEERING,3.9464,G,M
630,560,1190,COMMUNICATIONS,3.7669,G,M
520,530,1050,BUSINESS,3.3861,G,F
620,660,1280,NATURAL SCIENCE,2.888,G,M
630,590,1220,LIBERAL ARTS,3.7368,G,M
630,620,1250,BUSINESS,3.752,G,F
460,580,1040,LIBERAL ARTS,3.27,G,M
570,690,1260,NATURAL SCIENCE,3.35,G,M
630,610,1240,LIBERAL ARTS,2.6279,G,F
580,530,1110,LIBERAL ARTS,3.0666,G,M
490,520,1010,LIBERAL ARTS,2.4452,G,F
530,620,1150,BUSINESS,3.2966,G,M
480,600,1080,NATURAL SCIENCE,3.2869,G,M
490,480,970,NATURAL SCIENCE,2.3009,G,M
730,690,1420,LIBERAL ARTS,2.8839,G,M
640,650,1290,LIBERAL ARTS,3.0151,G,M
560,730,1290,ENGINEERING,2.8181,G,F
790,760,1550,LIBERAL ARTS,2.9134,G,F
610,590,1200,COMMUNICATIONS,2.977,G,M
610,600,1210,LIBERAL ARTS,3.0958,G,F
590,510,1100,LIBERAL ARTS,2.5086,G,F
600,700,1300,NATURAL SCIENCE,3.2647,G,M
580,600,1180,ENGINEERING,3.1102,G,F
800,670,1470,COMMUNICATIONS,3.25,G,F
700,800,1500,ENGINEERING,3.8467,G,F
530,570,1100,LIBERAL ARTS,3.6559,G,F
500,620,1120,LIBERAL ARTS,3.6785,G,M
560,560,1120,LIBERAL ARTS,2.921,G,M
650,630,1280,ENGINEERING,3.2944,G,F
630,630,1260,NATURAL SCIENCE,2.8359,G,F
540,530,1070,EDUCATION,3.1349,G,F
610,690,1300,ENGINEERING,2.8869,G,M
540,600,1140,NATURAL SCIENCE,3.116,G,F
620,630,1250,COMMUNICATIONS,3.568,G,M
590,540,1130,LIBERAL ARTS,3.0438,G,F
590,640,1230,LIBERAL ARTS,3.1271,G,F
460,470,930,COMMUNICATIONS,3.1325,G,M
520,640,1160,LIBERAL ARTS,2.75,G,M
630,760,1390,BUSINESS,2.1849,G,F
640,570,1210,LIBERAL ARTS,2.8623,G,F
670,770,1440,ENGINEERING,3.826,G,M
670,720,1390,LIBERAL ARTS,3.6666,G,M
500,540,1040,NATURAL SCIENCE,3.7304,G,M
490,630,1120,LIBERAL ARTS,2.9203,G,F
500,580,1080,LIBERAL ARTS,3.1354,G,M
560,640,1200,ENGINEERING,3.2847,G,M
520,610,1130,LIBERAL ARTS,2.7874,G,M
630,630,1260,NATURAL SCIENCE,3.3949,G,M
480,570,1050,LIBERAL ARTS,3.2187,G,F
640,800,1440,ENGINEERING,3.8267,G,F
770,730,1500,NATURAL SCIENCE,3.4077,G,F
610,620,1230,LIBERAL ARTS,3.5495,G,F
700,790,1490,LIBERAL ARTS,3.9821,G,F
640,710,1350,LIBERAL ARTS,3.1623,G,M
530,510,1040,BUSINESS,3.116,G,F
580,740,1320,NATURAL SCIENCE,3.5126,G,M
610,610,1220,NATURAL SCIENCE,3.4519,G,F
560,670,1230,BUSINESS,3.0176,G,M
530,670,1200,ENGINEERING,2.8811,G,M
640,590,1230,LIBERAL ARTS,3.2457,G,M
580,630,1210,SOCIAL WORK,2.5934,G,M
540,520,1060,LIBERAL ARTS,3.2038,G,M
620,660,1280,BUSINESS,3.2037,G,M
580,560,1140,LIBERAL ARTS,3.3392,G,M
730,590,1320,BUSINESS,3.3949,G,M
750,710,1460,LIBERAL ARTS,3.6095,G,M
570,580,1150,LIBERAL ARTS,2.9512,G,F
380,590,970,BUSINESS,3.5086,G,F
660,620,1280,LIBERAL ARTS,3.7903,G,M
600,550,1150,COMMUNICATIONS,3.1595,G,F
650,560,1210,LIBERAL ARTS,3.4718,G,M
710,710,1420,ARCHITECTURE,3.4197,G,M
570,620,1190,EDUCATION,3.3033,G,F
670,650,1320,ENGINEERING,3.7163,G,F
600,650,1250,LIBERAL ARTS,2.2857,G,F
590,560,1150,COMMUNICATIONS,2.9745,G,F
440,520,960,NATURAL SCIENCE,3.3135,G,M
540,470,1010,NURSING,2.8416,G,F
580,630,1210,LIBERAL ARTS,3.1683,G,F
630,580,1210,NATURAL SCIENCE,2.9579,G,F
720,680,1400,ENGINEERING,2.8666,G,F
600,610,1210,LIBERAL ARTS,2.7578,G,M
480,550,1030,LIBERAL ARTS,3.3688,G,M
540,490,1030,NURSING,3.1932,G,F
610,670,1280,NATURAL SCIENCE,3.3859,G,M
660,690,1350,LIBERAL ARTS,3.5909,G,M
570,730,1300,ENGINEERING,3.2847,G,M
700,780,1480,NATURAL SCIENCE,3.2051,G,M
580,590,1170,LIBERAL ARTS,3.8369,G,F
520,510,1030,NATURAL SCIENCE,3.0819,G,M
640,670,1310,ENGINEERING,3.4818,G,F
610,540,1150,LIBERAL ARTS,3.7247,G,F
580,560,1140,LIBERAL ARTS,3.3297,G,F
560,530,1090,LIBERAL ARTS,3.1013,G,M
750,720,1470,BUSINESS,3.6511,G,F
570,750,1320,NATURAL SCIENCE,3.2419,G,F
520,560,1080,ENGINEERING,3.24,G,M
540,670,1210,NATURAL SCIENCE,2.7685,G,M
510,690,1200,LIBERAL ARTS,2.4586,G,F
700,720,1420,BUSINESS,3.8434,G,F
620,740,1360,BUSINESS,3.7956,G,M
560,520,1080,LIBERAL ARTS,3.9166,G,F
550,690,1240,LIBERAL ARTS,3.289,G,M
540,700,1240,NATURAL SCIENCE,2.8846,G,M
670,580,1250,BUSINESS,2.9909,G,F
690,580,1270,BUSINESS,2.6435,G,F
620,690,1310,COMMUNICATIONS,3.5846,G,M
650,720,1370,FINE ARTS,3.0854,G,M
530,490,1020,LIBERAL ARTS,2.81,G,F
530,620,1150,LIBERAL ARTS,3.1451,G,F
620,580,1200,ENGINEERING,2.0404,G,F
480,370,850,LIBERAL ARTS,3.63,G,F
670,690,1360,BUSINESS,3.5164,G,F
650,620,1270,LIBERAL ARTS,2.7246,G,F
640,740,1380,NATURAL SCIENCE,3.9058,G,F
660,560,1220,LIBERAL ARTS,3.7905,G,F
630,600,1230,LIBERAL ARTS,3.0123,G,F
800,790,1590,NATURAL SCIENCE,3.8809,G,M
600,530,1130,COMMUNICATIONS,3.7857,G,M
570,520,1090,NATURAL SCIENCE,2.3673,G,F
740,670,1410,BUSINESS,3.7822,G,F
530,680,1210,LIBERAL ARTS,2.807,G,F
800,710,1510,LIBERAL ARTS,3.336,G,F
750,720,1470,NATURAL SCIENCE,3.8174,G,F
510,540,1050,LIBERAL ARTS,3.2589,G,F
660,610,1270,FINE ARTS,3.7577,G,F
570,660,1230,ENGINEERING,2.9677,G,F
570,700,1270,COMMUNICATIONS,3.2846,G,M
470,520,990,LIBERAL ARTS,2.8611,G,M
560,550,1110,NATURAL SCIENCE,3.5568,G,M
530,510,1040,NATURAL SCIENCE,3.2429,G,M
540,620,1160,NATURAL SCIENCE,3.5572,G,F
710,800,1510,NATURAL SCIENCE,3.2307,G,M
430,450,880,BUSINESS,2.8913,G,F
600,590,1190,LIBERAL ARTS,2.4965,G,M
800,640,1440,BUSINESS,3.7,G,M
530,540,1070,NATURAL SCIENCE,3.1071,G,F
620,710,1330,FINE ARTS,3.5327,G,M
570,640,1210,COMMUNICATIONS,3.2828,G,M
610,550,1160,LIBERAL ARTS,3.042,G,F
610,650,1260,NATURAL SCIENCE,3.7768,G,M
570,700,1270,ENGINEERING,2.8287,G,F
480,420,900,COMMUNICATIONS,2.8717,G,M
560,590,1150,ENGINEERING,2.8979,G,M
580,540,1120,LIBERAL ARTS,2.9855,G,M
510,560,1070,BUSINESS,3.2038,G,M
650,740,1390,NATURAL SCIENCE,3.4716,G,F
760,800,1560,NATURAL SCIENCE,3.862,G,F
630,660,1290,NATURAL SCIENCE,3.2521,G,M
570,640,1210,NATURAL SCIENCE,3.5294,G,M
600,720,1320,NATURAL SCIENCE,3.8333,G,M
570,530,1100,LIBERAL ARTS,3.3367,G,M
570,620,1190,LIBERAL ARTS,3.6785,G,F
550,620,1170,LIBERAL ARTS,3.6036,G,M
600,610,1210,ENGINEERING,3.5739,G,M
570,660,1230,LIBERAL ARTS,3.0573,G,M
590,790,1380,ENGINEERING,3.6588,G,F
660,590,1250,BUSINESS,3.7653,G,F
470,590,1060,LIBERAL ARTS,3.0176,G,M
720,770,1490,LIBERAL ARTS,3.9527,G,F
520,650,1170,LIBERAL ARTS,2.6017,G,M
590,540,1130,NURSING,3.1965,G,F
620,550,1170,LIBERAL ARTS,2.7572,G,F
540,580,1120,ENGINEERING,2.4375,G,M
600,500,1100,NATURAL SCIENCE,2.805,G,M
580,590,1170,NATURAL SCIENCE,3.3211,G,M
580,640,1220,NATURAL SCIENCE,3.2347,G,F
650,610,1260,NATURAL SCIENCE,2.8461,G,F
720,640,1360,LIBERAL ARTS,3.7,G,F
440,410,850,LIBERAL ARTS,2.6141,G,F
530,510,1040,NATURAL SCIENCE,2.4765,G,M
590,510,1100,LIBERAL ARTS,2.4424,G,M
570,680,1250,NATURAL SCIENCE,3.9242,G,F
510,620,1130,ENGINEERING,3.1944,G,F
690,670,1360,COMMUNICATIONS,3.9479,G,M
620,710,1330,LIBERAL ARTS,3.1891,G,M
620,680,1300,NATURAL SCIENCE,2.8555,G,M
470,540,1010,NATURAL SCIENCE,2.9295,G,F
710,630,1340,BUSINESS,3.6632,G,M
450,460,910,LIBERAL ARTS,2.8435,G,M
650,610,1260,LIBERAL ARTS,3.3508,G,M
640,670,1310,FINE ARTS,3.909,G,F
450,520,970,ENGINEERING,3.0357,G,M
590,610,1200,NATURAL SCIENCE,3.5412,G,M
680,710,1390,FINE ARTS,2.9635,G,M
610,720,1330,NATURAL SCIENCE,3.1631,G,F
710,630,1340,ENGINEERING,3.8264,G,F
570,600,1170,BUSINESS,3.088,G,M
580,590,1170,NATURAL SCIENCE,2.6171,G,F
650,600,1250,NATURAL SCIENCE,3.4833,G,F
570,590,1160,BUSINESS,2.8921,G,M
600,570,1170,NURSING,4,G,M
700,710,1410,NATURAL SCIENCE,3.7126,G,F
590,580,1170,BUSINESS,3.0583,G,F
520,640,1160,ENGINEERING,3.2477,G,F
640,700,1340,NATURAL SCIENCE,3.7795,G,F
630,640,1270,NATURAL SCIENCE,3.6489,G,M
620,590,1210,COMMUNICATIONS,3.3925,G,F
640,540,1180,LIBERAL ARTS,2.7731,G,M
550,580,1130,LIBERAL ARTS,3.1058,G,M
490,590,1080,NATURAL SCIENCE,3.2222,G,M
750,660,1410,LIBERAL ARTS,3.3203,G,M
510,440,950,LIBERAL ARTS,2.9084,G,F
660,720,1380,LIBERAL ARTS,3.304,G,F
550,460,1010,FINE ARTS,3,G,F
640,710,1350,ENGINEERING,3.0957,G,F
650,520,1170,LIBERAL ARTS,2.9642,G,M
610,690,1300,ENGINEERING,2.8714,G,F
630,690,1320,LIBERAL ARTS,3.2032,G,M
590,560,1150,NATURAL SCIENCE,3,G,F
500,660,1160,NATURAL SCIENCE,2.0729,G,M
600,620,1220,ENGINEERING,2.406,G,F
580,650,1230,NATURAL SCIENCE,3.3442,G,F
570,580,1150,LIBERAL ARTS,3.1875,G,M
640,560,1200,NATURAL SCIENCE,3.7724,G,F
630,700,1330,LIBERAL ARTS,3.7551,G,F
540,480,1020,LIBERAL ARTS,2.27,G,F
660,610,1270,COMMUNICATIONS,3.6146,G,F
600,560,1160,LIBERAL ARTS,2.8244,G,F
510,430,940,LIBERAL ARTS,2.7205,G,M
550,560,1110,FINE ARTS,3.4123,G,M
640,520,1160,LIBERAL ARTS,2.6428,G,F
560,490,1050,COMMUNICATIONS,3.3333,G,F
630,660,1290,BUSINESS,3.0638,G,F
650,520,1170,LIBERAL ARTS,3.7338,G,M
660,730,1390,BUSINESS,3.8604,G,F
470,520,990,LIBERAL ARTS,2.4818,G,M
680,690,1370,NATURAL SCIENCE,3.3217,G,F
800,790,1590,BUSINESS,4,G,F
650,750,1400,ENGINEERING,3.619,G,M
440,420,860,COMMUNICATIONS,2.6635,G,F
560,590,1150,BUSINESS,3.3716,G,M
470,550,1020,LIBERAL ARTS,2.6349,G,M
730,630,1360,NATURAL SCIENCE,2.3834,G,F
500,540,1040,LIBERAL ARTS,2.3106,G,F
510,550,1060,ENGINEERING,2.7226,G,M
710,670,1380,BUSINESS,3.6,G,F
510,710,1220,BUSINESS,3.1612,G,M
650,700,1350,BUSINESS,3.5576,G,F
560,520,1080,LIBERAL ARTS,3.5403,G,F
800,790,1590,NATURAL SCIENCE,3.76,G,M
680,690,1370,NATURAL SCIENCE,3.2307,G,M
680,600,1280,COMMUNICATIONS,3.164,G,F
730,700,1430,ARCHITECTURE,3.0268,G,F
610,580,1190,LIBERAL ARTS,2.602,G,M
570,630,1200,LIBERAL ARTS,3.31,G,M
590,620,1210,NATURAL SCIENCE,2.8365,G,M
530,580,1110,NATURAL SCIENCE,2.628,G,F
500,590,1090,EDUCATION,3.163,G,M
680,680,1360,LIBERAL ARTS,4,G,M
520,520,1040,NATURAL SCIENCE,2.7765,G,M
490,540,1030,ENGINEERING,2.6269,G,F
520,620,1140,LIBERAL ARTS,3.9022,G,F
640,680,1320,LIBERAL ARTS,3.5677,G,M
520,500,1020,NATURAL SCIENCE,2.5603,G,F
500,550,1050,LIBERAL ARTS,2.8118,G,M
700,640,1340,BUSINESS,3.8157,G,M
560,640,1200,ENGINEERING,2.3223,G,M
600,770,1370,ENGINEERING,3.0388,G,F
580,620,1200,BUSINESS,3.5181,G,M
650,700,1350,NATURAL SCIENCE,2.8225,G,F
370,360,730,COMMUNICATIONS,2.7466,G,M
450,500,950,LIBERAL ARTS,3.4929,G,F
400,480,880,NURSING,2.6825,G,F
520,640,1160,BUSINESS,2.6933,G,M
660,560,1220,EDUCATION,3.2352,G,M
510,560,1070,BUSINESS,3.4444,G,F
600,600,1200,NATURAL SCIENCE,3.3925,G,F
660,630,1290,LIBERAL ARTS,3.5433,G,M
670,720,1390,NATURAL SCIENCE,3.3985,G,M
710,670,1380,LIBERAL ARTS,3.5328,G,M
540,680,1220,BUSINESS,3.8442,G,F
510,620,1130,ENGINEERING,3.6721,G,F
530,540,1070,EDUCATION,2.0236,G,M
620,590,1210,LIBERAL ARTS,2.5744,G,M
630,650,1280,ENGINEERING,2.9024,G,M
710,740,1450,BUSINESS,3.2285,G,F
580,590,1170,LIBERAL ARTS,2.4573,G,F
710,760,1470,BUSINESS,3.7692,G,F
430,470,900,NATURAL SCIENCE,3.0089,G,M
310,340,650,EDUCATION,2.3543,G,F
590,600,1190,BUSINESS,2.3666,G,F
740,570,1310,LIBERAL ARTS,3.5217,G,M
680,610,1290,FINE ARTS,3.4388,G,F
580,670,1250,BUSINESS,3.5858,G,M
620,700,1320,BUSINESS,3.5596,G,M
650,640,1290,ENGINEERING,3.712,G,F
680,740,1420,NATURAL SCIENCE,3.7348,G,M
560,590,1150,NATURAL SCIENCE,2.9,G,F
680,670,1350,COMMUNICATIONS,3.8778,G,M
530,620,1150,COMMUNICATIONS,3.5769,G,F
540,610,1150,LIBERAL ARTS,2.4629,G,M
510,630,1140,ENGINEERING,3.0675,G,F
530,530,1060,LIBERAL ARTS,2.4666,G,M
800,650,1450,BUSINESS,3.9469,G,M
480,490,970,NURSING,2.756,G,M
560,570,1130,ENGINEERING,3.9478,G,F
450,560,1010,BUSINESS,3.2867,G,F
600,520,1120,LIBERAL ARTS,2.6476,G,M
540,720,1260,LIBERAL ARTS,2.7706,G,M
570,710,1280,ENGINEERING,3.844,G,F
620,630,1250,NATURAL SCIENCE,3.1619,G,M
630,800,1430,NATURAL SCIENCE,2.0333,G,F
470,620,1090,LIBERAL ARTS,2.8201,G,F
640,430,1070,COMMUNICATIONS,2.1804,G,M
560,690,1250,ENGINEERING,2.7007,G,M
590,630,1220,NATURAL SCIENCE,3.8521,G,M
610,690,1300,NATURAL SCIENCE,3.2196,G,M
430,710,1140,NATURAL SCIENCE,3.9393,G,F
570,710,1280,NATURAL SCIENCE,3.4796,G,F
570,680,1250,ENGINEERING,3.4344,G,M
620,640,1260,ENGINEERING,2.3941,G,M
450,480,930,BUSINESS,2.7984,G,F
460,560,1020,LIBERAL ARTS,3.3804,G,F
740,670,1410,LIBERAL ARTS,3.0661,G,M
650,760,1410,ENGINEERING,3.8914,G,M
560,590,1150,BUSINESS,3.1415,G,M
590,560,1150,LIBERAL ARTS,3.2298,G,M
500,600,1100,BUSINESS,3.1553,G,F
480,420,900,BUSINESS,3.0973,G,M
670,630,1300,LIBERAL ARTS,2.8316,G,M
490,680,1170,NATURAL SCIENCE,3.3846,G,F
580,590,1170,LIBERAL ARTS,3.6037,G,F
530,610,1140,NATURAL SCIENCE,2.9696,G,F
730,690,1420,BUSINESS,4,G,F
630,660,1290,ENGINEERING,2.7364,G,M
700,640,1340,LIBERAL ARTS,3.4059,G,M
580,640,1220,LIBERAL ARTS,3.8536,G,M
510,590,1100,NATURAL SCIENCE,3.5982,G,M
590,620,1210,COMMUNICATIONS,3.5368,G,M
650,750,1400,LIBERAL ARTS,3.7669,G,M
570,630,1200,LIBERAL ARTS,2.923,G,M
640,670,1310,COMMUNICATIONS,3.88,G,F
560,660,1220,LIBERAL ARTS,2.9133,G,M
530,610,1140,NATURAL SCIENCE,2.9009,G,M
560,650,1210,BUSINESS,2.2982,G,M
480,510,990,LIBERAL ARTS,3.2016,G,M
660,520,1180,FINE ARTS,2.3333,G,M
570,600,1170,LIBERAL ARTS,3.4701,G,F
670,680,1350,NATURAL SCIENCE,3.3,G,F
520,590,1110,LIBERAL ARTS,3.808,G,F
590,690,1280,FINE ARTS,3.669,G,F
490,590,1080,LIBERAL ARTS,2.6754,G,M
620,660,1280,LIBERAL ARTS,3.1428,G,F
730,640,1370,NATURAL SCIENCE,2.7933,G,M
520,480,1000,LIBERAL ARTS,2.5736,G,M
690,620,1310,NATURAL SCIENCE,3.2802,G,F
480,560,1040,LIBERAL ARTS,2.5692,G,F
700,500,1200,COMMUNICATIONS,2.3846,G,F
710,540,1250,LIBERAL ARTS,3.673,G,M
540,620,1160,LIBERAL ARTS,2.633,G,F
480,630,1110,FINE ARTS,3.6126,G,F
500,670,1170,LIBERAL ARTS,3.6111,G,M
660,710,1370,BUSINESS,3.1607,G,M
580,580,1160,FINE ARTS,2.3145,G,F
650,580,1230,LIBERAL ARTS,3.238,G,M
590,580,1170,BUSINESS,2.8333,G,F
510,630,1140,NATURAL SCIENCE,2.2426,G,M
600,540,1140,LIBERAL ARTS,2.3166,G,F
750,720,1470,BUSINESS,3.6015,G,F
540,650,1190,ENGINEERING,3.6971,G,M
730,750,1480,LIBERAL ARTS,3.8705,G,M
500,550,1050,BUSINESS,2.8888,G,M
530,590,1120,BUSINESS,3.2142,G,M
560,590,1150,NATURAL SCIENCE,3.3962,G,M
580,690,1270,LIBERAL ARTS,2.57,G,M
500,620,1120,EDUCATION,2.6822,G,M
590,610,1200,NATURAL SCIENCE,3.1452,G,F
570,560,1130,COMMUNICATIONS,2.631,G,F
530,600,1130,LIBERAL ARTS,3.6111,G,F
530,580,1110,BUSINESS,2.6574,G,F
800,760,1560,LIBERAL ARTS,3.8372,G,M
560,560,1120,BUSINESS,2.5545,G,F
530,640,1170,LIBERAL ARTS,3.2978,G,F
540,690,1230,BUSINESS,3.419,G,F
730,600,1330,LIBERAL ARTS,3.8474,G,M
630,590,1220,LIBERAL ARTS,2.6814,G,M
500,590,1090,NATURAL SCIENCE,2.3812,G,M
560,640,1200,LIBERAL ARTS,2.2543,G,F
700,650,1350,LIBERAL ARTS,3.3333,G,M
710,690,1400,NATURAL SCIENCE,2.2844,G,M
520,620,1140,NATURAL SCIENCE,2.4732,G,F
610,600,1210,NATURAL SCIENCE,2.8039,G,M
640,710,1350,BUSINESS,3.6581,G,M
600,520,1120,LIBERAL ARTS,2.2461,G,M
560,610,1170,LIBERAL ARTS,3.5137,G,M
570,600,1170,NATURAL SCIENCE,3.5444,G,F
560,590,1150,NATURAL SCIENCE,3.3565,G,M
620,690,1310,ENGINEERING,3.7407,G,M
510,550,1060,FINE ARTS,3.8226,G,F
650,600,1250,LIBERAL ARTS,3.3877,G,F
660,690,1350,LIBERAL ARTS,3.2521,G,M
750,620,1370,NATURAL SCIENCE,2.0084,G,F
600,600,1200,LIBERAL ARTS,2.0283,G,F
620,670,1290,NATURAL SCIENCE,2.9072,G,F
580,630,1210,LIBERAL ARTS,3.1283,G,F
640,640,1280,LIBERAL ARTS,3.2772,G,F
600,620,1220,NATURAL SCIENCE,2.272,G,F
790,790,1580,ENGINEERING,3.6081,G,F
530,620,1150,LIBERAL ARTS,3.0322,G,M
480,680,1160,LIBERAL ARTS,3.0412,G,F
670,660,1330,LIBERAL ARTS,3.2019,G,M
510,510,1020,LIBERAL ARTS,2.6928,G,F
700,660,1360,ENGINEERING,3.7972,G,F
710,770,1480,LIBERAL ARTS,3.9285,G,M
730,710,1440,LIBERAL ARTS,3.8041,G,M
640,530,1170,LIBERAL ARTS,3.9444,G,F
400,480,880,LIBERAL ARTS,2.4244,G,F
520,470,990,LIBERAL ARTS,2.7044,G,M
510,440,950,LIBERAL ARTS,2.7321,G,M
610,650,1260,LIBERAL ARTS,3.8,G,M
420,390,810,LIBERAL ARTS,2.3305,G,M
620,650,1270,LIBERAL ARTS,2.5109,G,F
480,460,940,LIBERAL ARTS,2.4055,G,F
600,560,1160,LIBERAL ARTS,3.8018,G,F
620,660,1280,NATURAL SCIENCE,3.5108,G,F
620,630,1250,LIBERAL ARTS,3.7923,G,M
520,620,1140,LIBERAL ARTS,2.6481,G,F
580,700,1280,COMMUNICATIONS,2.9902,G,F
440,550,990,ENGINEERING,2.923,G,M
760,740,1500,LIBERAL ARTS,3.3795,G,M
720,660,1380,NATURAL SCIENCE,3.3898,G,F
630,610,1240,LIBERAL ARTS,3.2934,G,F
590,630,1220,LIBERAL ARTS,3.4534,G,F
480,630,1110,LIBERAL ARTS,3.576,G,M
440,530,970,NATURAL SCIENCE,3.5073,G,M
410,390,800,NATURAL SCIENCE,2.4444,G,M
680,670,1350,FINE ARTS,2.7379,G,F
480,710,1190,NATURAL SCIENCE,2.6842,G,M
540,700,1240,NATURAL SCIENCE,3.088,G,M
430,420,850,LIBERAL ARTS,2.7769,G,F
630,670,1300,LIBERAL ARTS,2.6744,G,M
620,630,1250,ENGINEERING,2.7549,G,M
760,720,1480,NATURAL SCIENCE,3.9687,G,F
630,540,1170,LIBERAL ARTS,3.1696,G,M
690,710,1400,ENGINEERING,3.226,G,F
630,630,1260,NATURAL SCIENCE,2.8353,G,M
